id,session,category,office,name,url
1316724,2013,ASSEMBLY DISTRICTS,ASSEMBLY 24,"GORDON, RICHARD S.",/Campaign/Candidates/Detail.aspx?session=2013&id=1316724
1315744,2013,ASSEMBLY DISTRICTS,ASSEMBLY 25,"WIECKOWSKI, ROBERT",/Campaign/Candidates/Detail.aspx?session=2013&id=1315744
1224866,2013,ASSEMBLY DISTRICTS,ASSEMBLY 26,"CONWAY, CONNIE",/Campaign/Candidates/Detail.aspx?session=2013&id=1224866
1318599,2013,ASSEMBLY DISTRICTS,ASSEMBLY 27,"CAMPOS, NORA  ELIA",/Campaign/Candidates/Detail.aspx?session=2013&id=1318599
1296276,2013,ASSEMBLY DISTRICTS,ASSEMBLY 28,"FONG, PAUL",/Campaign/Candidates/Detail.aspx?session=2013&id=1296276
1340922,2013,ASSEMBLY DISTRICTS,ASSEMBLY 29,"STONE, MARK",/Campaign/Candidates/Detail.aspx?session=2013&id=1340922
1318708,2013,ASSEMBLY DISTRICTS,ASSEMBLY 30,"ALEJO, LUIS",/Campaign/Candidates/Detail.aspx?session=2013&id=1318708
1235519,2013,ASSEMBLY DISTRICTS,ASSEMBLY 31,"PEREA, HENRY T.",/Campaign/Candidates/Detail.aspx?session=2013&id=1235519
1340989,2013,ASSEMBLY DISTRICTS,ASSEMBLY 32,"SALAS JR., RUDY",/Campaign/Candidates/Detail.aspx?session=2013&id=1340989
1324846,2013,ASSEMBLY DISTRICTS,ASSEMBLY 33,"DONNELLY, TIM",/Campaign/Candidates/Detail.aspx?session=2013&id=1324846
1325437,2013,ASSEMBLY DISTRICTS,ASSEMBLY 34,"GROVE, SHANNON",/Campaign/Candidates/Detail.aspx?session=2013&id=1325437
1317317,2013,ASSEMBLY DISTRICTS,ASSEMBLY 35,"ACHADJIAN, KHATCHIK",/Campaign/Candidates/Detail.aspx?session=2013&id=1317317
1297103,2013,ASSEMBLY DISTRICTS,ASSEMBLY 36,"FOX, STEVE",/Campaign/Candidates/Detail.aspx?session=2013&id=1297103
1316434,2013,ASSEMBLY DISTRICTS,ASSEMBLY 37,"WILLIAMS, DAS",/Campaign/Candidates/Detail.aspx?session=2013&id=1316434
1339656,2013,ASSEMBLY DISTRICTS,ASSEMBLY 38,"WILK, SCOTT T.",/Campaign/Candidates/Detail.aspx?session=2013&id=1339656
1330049,2013,ASSEMBLY DISTRICTS,ASSEMBLY 39,"BOCANEGRA, RAUL",/Campaign/Candidates/Detail.aspx?session=2013&id=1330049
1252076,2013,ASSEMBLY DISTRICTS,ASSEMBLY 40,"MORRELL, MIKE",/Campaign/Candidates/Detail.aspx?session=2013&id=1252076
1336467,2013,ASSEMBLY DISTRICTS,ASSEMBLY 41,"HOLDEN, CHRIS",/Campaign/Candidates/Detail.aspx?session=2013&id=1336467
1301731,2013,ASSEMBLY DISTRICTS,ASSEMBLY 42,"NESTANDE, BRIAN",/Campaign/Candidates/Detail.aspx?session=2013&id=1301731
1005008,2013,ASSEMBLY DISTRICTS,ASSEMBLY 43,"GATTO, MIKE",/Campaign/Candidates/Detail.aspx?session=2013&id=1005008
1236048,2013,ASSEMBLY DISTRICTS,ASSEMBLY 44,"GORELL, JEFF",/Campaign/Candidates/Detail.aspx?session=2013&id=1236048
1357054,2013,ASSEMBLY DISTRICTS,ASSEMBLY 45,"DABABNEH, MATTHEW",/Campaign/Candidates/Detail.aspx?session=2013&id=1357054
1323126,2013,ASSEMBLY DISTRICTS,ASSEMBLY 46,"NAZARIAN, ADRIN",/Campaign/Candidates/Detail.aspx?session=2013&id=1323126
